image_path,en_caption,caption_es,caption_zh,caption_ur
/content/flickr30k_images/1001896054.jpg,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .,Un hombre con ropa de seguridad reflectante y protección de oídos conduce un tractor John Deere en una carretera.,一名身穿反射安全服、戴耳防护的男子驾驶一辆约翰·迪雷拖拉机在路上行驶。,ایک ایسا شخص جو تحفظ فراہم کرتا ہے اور اُس کی حفاظت کرتا ہے وہ کسی سڑک پر کوئی راستہ نہیں نکالتا ۔
/content/flickr30k_images/100197432.jpg,Some women are standing in front of a bus with buildings behind it .,Algunas mujeres están de pie frente a un autobús con edificios detrás de él.,"有些妇女站在一辆公共汽车前,",بعض عورتیں بس کی جگہ کے سامنے کھڑے ہیں ۔
/content/flickr30k_images/100207720.jpg,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,Una joven con cabello oscuro y gafas está poniendo polvo blanco en un pastel usando un tamiz .,一名身着黑头发和戴眼镜的年轻女子正在用筛选器把白粉放在蛋糕上。,کیک کا استعمال کرنے والی ایک نوجوان عورت سیاہ بال سے اور کپڑے پہنے ہوئے سفید رنگ کا نل کر رہی ہے ۔
/content/flickr30k_images/1002674143.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,Una niña pequeña en la hierba juega con las pinturas de los dedos en frente de un lienzo blanco con un arco iris en él.,"草地上的一个小女孩在白色画布前用指纸玩耍, 上面有彩虹。",گھاس میں ایک چھوٹی بچی کی انگلیوں کے سامنے سفید رنگوں سے بنی ہوئی ہے ۔
/content/flickr30k_images/1003163366.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,un hombre durmiendo en un banco afuera con un perro blanco y negro sentado a su lado.,"一个男人睡在外面的长凳上,坐在他旁边的一只白黑狗。",ایک آدمی سفید اور سفید کتا اُسکے پاس بیٹھے ہوئے تھے ۔
/content/flickr30k_images/1003420127.jpg,"A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .","Un grupo de adultos, dentro de una casa, sentados en sillas dispuestas en un círculo, tocando un tipo de instrumentos musicales.","一群成年人在家中坐在椅子上,",بالغوں کا ایک گروہ ، گھر کے اندر ، کرسیوں پر بیٹھے ہوئے ایک دائرے میں بیٹھے ہوئے موسیقی بجانے کا بندوبست کرتا ہے ۔
/content/flickr30k_images/1003428081.jpg,"Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .","Dos mujeres , ambos con gafas , están tocando clarinete y una mujer de edad avanzada está tocando un instrumento de cuerda .","两名身戴眼镜的妇女正在玩单簧管, 一名老年妇女正在玩弦乐器。",دو عورتیں کپڑے پہنے ہوئے ہیں اور ایک عمررسیدہ عورت کھیل رہی ہیں ۔
/content/flickr30k_images/100444898.jpg,A person in gray stands alone on a structure outdoors in the dark .,Una persona en gris se para sola en una estructura al aire libre en la oscuridad .,灰色人独自站在黑暗的户外结构上。,ایک سفید شخص اندھیرے میں گھر کے باہر باہر باہر کھڑا رہتا ہے ۔
/content/flickr30k_images/1005216151.jpg,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,Un hombre en una camiseta blanca mira hacia la cámara rodeada por una multitud cerca de una estación de metro .,"身穿白色T恤衫的男人看着摄像头,",ایک سفید ٹی ٹی-بی میں ایک آدمی کے ارد گرد ایک ہجوم کے قریب ایک ہجوم کے پاس نظر آتا ہے.
/content/flickr30k_images/100577935.jpg,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .,Un hombre con una perilla en una camisa negra y guantes de látex blanco está usando una pistola de tatuaje para colocar un tatuaje en la espalda de alguien.,一个穿着黑衬衫和白乳胶手套的山羊皮男子 正在用刺青枪在某人的背上打纹身,"ایک سفید چہرے میں بکری کے سفید چہرے میں ایک شخص اور سفید رنگ کے چہرے پر بندوق کا ٹکڑا لگا رہا ہے کسی شخص کو ""بس"" پر نشان لگانے کے لیے "" i"" استعمال کر رہا ہے."
/content/flickr30k_images/1006452823.jpg,"two children , a girl and a boy are practicing their writing .","dos niños, una niña y un niño están practicando su escritura.",两个孩子、一个女孩和一个男孩在练习写作。,دو بچے ، ایک لڑکی اور لڑکے لکھ رہے ہیں ۔
/content/flickr30k_images/100652400.jpg,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .,Un hombre con un sombrero duro azul y chaleco de seguridad naranja se para en una intersección mientras sostiene una bandera.,"穿着蓝色硬帽和橙色安全背心的男人站在十字路口,",ایک نیلی ٹوپی اور نادیدہ محفوظ جانور ایک جھنڈے پر سوار ہوتے ہیں ۔
/content/flickr30k_images/1007129816.jpg,The man with pierced ears is wearing glasses and an orange hat .,El hombre con orejas perforadas lleva gafas y un sombrero naranja.,戴眼罩和橙色帽子的男人,اُس آدمی کے کانوں میں سُرخ رنگ ہوتا ہے اور اُسے ایک نادر ٹوپی پہننی پڑتی ہے ۔
/content/flickr30k_images/100716317.jpg,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .,Una persona con pelo gris largo tiene una boina con beige y blanco con un impermeable azul está pintando un paisaje de mercado rodeado de otros artistas y pinturas.,穿着蓝雨衣的白衣人正在画一个由其他艺术家和画家包围的集市风景。,طویل بال کے ساتھ ایک شخص کا رنگ ہلکا ہوتا ہے اور سفید رنگ کا رنگ دوسرے مجسّمہ‌سازی اور مجسّموں سے بھرا ہوتا ہے ۔
/content/flickr30k_images/1007205537.jpg,A man stands on one foot while holding on to a waste basket .,Un hombre se para en un pie mientras se aferra a una cesta de basura.,一个人站在一只脚上 拿着一个废篮子,اِس سلسلے میں ایک مثال پر غور کریں ۔
/content/flickr30k_images/1007320043.jpg,A small child grips onto the red ropes at the playground .,Un niño pequeño se agarra a las cuerdas rojas en el parque infantil .,一个小孩抓住操场的红绳子,ایک چھوٹا بچہ سُرخ چھڑی بجانے میں سرخ رسیوں کو پکڑ لیتا ہے ۔
/content/flickr30k_images/100759042.jpg,Young man in jacket holding a toothpick with something on the end of it,Joven con chaqueta sosteniendo un palillo de dientes con algo en el extremo,穿着夹克的年轻人拿着牙签 上面有东西,اس کے آخر میں نوجوان آدمی دانت کے دانتوں کو چُھو لیتے ہیں
/content/flickr30k_images/10082347.jpg,Young blond man in a blue and yellow jacket smiling while standing in front of a net .,Joven rubio en una chaqueta azul y amarilla sonriendo mientras está de pie delante de una red .,穿着蓝色和黄色夹克的金发年轻男子 站在网前微笑,نیلے رنگ اور زرد رنگ کے آدمی ایک جال کے سامنے کھڑا رہتے ہیں ۔
/content/flickr30k_images/10082348.jpg,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .,Un hombre con una gorra de béisbol y chaqueta negra se para en un baño mientras sostiene una taza de café.,一个戴着棒球帽和黑夹克的男人 拿着咖啡杯站在浴室里,اِس کی ایک وجہ یہ ہے کہ اُنہوں نے کافی عرصے تک اِسے صاف کِیا تھا ۔
/content/flickr30k_images/100845130.jpg,Five people walking with a multicolored sky in the background .,Cinco personas caminando con un cielo multicolor en el fondo.,5个人在背景中带着多色天空行走。,پانچ لوگ پس‌منظر میں مختلف آسمان کے ساتھ جا رہے ہیں ۔
/content/flickr30k_images/10090841.jpg,A man with black hair sits in a restaurant with a glass of beer .,Un hombre de pelo negro se sienta en un restaurante con un vaso de cerveza.,一个黑头发的男人坐在餐厅里 喝着啤酒,ایک سیاہ بال کے ساتھ ایک آدمی لوہے کے شیشے میں بیٹھ کر بیٹھ جاتا ہے ۔
/content/flickr30k_images/1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,Un perro blanco y negro corre en un jardín herboso rodeado de una cerca blanca.,一只黑白狗在被白栅栏包围的草地花园里跑来跑去。,سفید اور سفید کتا ایک سفید باغ میں چلا رہا ہے جس میں سفید باڑ سے گھیرے ہوئے ہے ۔
/content/flickr30k_images/1009692167.jpg,An officer in a reflective vest stands at the front of his van with his dog .,Un oficial en un chaleco reflectante se para en la parte delantera de su camioneta con su perro.,"一名穿反射背心的军官站在他的面包车前面,带着他的狗。",ایک افسر اپنے کتے کے ساتھ ایک مجسّمے کے سامنے کھڑا ہوتا ہے ۔
/content/flickr30k_images/101001624.jpg,"The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .","Las condiciones ""blancas"" de nieve en el suelo parecen casi obviar los detalles de un hombre vestido para el frío en una chaqueta pesada y sombrero rojo montando una bicicleta en un barrio suburbano.","当地雪雪雪的 "" 白白 "" 状况似乎几乎暴露了一名身着寒冷衣服、穿着重夹克和红色帽子的男子在郊区附近骑自行车的细节。","""مشرقی زمین پر برف کی صورت حال تو ایسا لگ رہا ہے کہ ایک آدمی کی سردی کی وجہ سے کسی کو شدید سرد موسم اور سُرخ رنگ کی چھتری پر سوار کر لیا جا رہا ہے."
/content/flickr30k_images/1010031975.jpg,"Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .","Cinco hombres, vestidos uniformemente con camisas blancas, corbata y pantalones negros conversan en la parte posterior de una furgoneta abierta.","五个人穿着白色衬衫, 领带和黑裤子在开着的面包车后面交汇。",پانچ مرد، سفید رنگوں میں سفید رنگ، کپڑے اور کھلے وین کے پیچھے سیاہ بحث کرتے ہیں۔
/content/flickr30k_images/1010087179.jpg,A tan man with a backwards hat looks at the camera while walking through a factory .,Un hombre bronceado con un sombrero hacia atrás mira a la cámara mientras camina a través de una fábrica.,一个戴反面帽子的棕色男子在穿过工厂时看着相机。,ایک ٹوپی والی ٹوپی کے ساتھ ایک آدمی ایک فیکٹری میں چلنے کے دوران سٹیشنوں کی طرف دیکھتا ہے ۔
/content/flickr30k_images/1010087623.jpg,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .,Un hombre caucásico con una camisa negra de manga corta y una mujer de piel oscura con un vestido sin mangas están trabajando en un transportador .,一名身穿短袖黑衬衫的天主教男子和一名身着无袖裙子的深肤色妇女正在传送器工作。,ایک جوان آدمی ایک چھوٹے سے رنگ کے کپڑے پہن کر ایک سیاہ سا کپڑے پہنتا ہے اور ایک سیاہ رنگ کے لباس میں کام کر رہا ہے.
/content/flickr30k_images/10101477.jpg,"Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background .","Hombre con un traje azul y blanco , sosteniendo una escoba , con una arquitectura asiática tradicional en el fondo .","身穿蓝色白色衣物, 拿着扫帚,",انسان ایک نیلے اور سفید لباس پہنتا ہے اور پس منظر میں روایتی ایشیا کے ساتھ ایک روایتی ماحول برقرار رکھتا ہے ۔
/content/flickr30k_images/1010470346.jpg,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by,"dos hombres en chalecos florescentes están de pie al lado de coches estacionados delante de un pequeño edificio, mientras que uno de ellos conversa con un conductor y una mujer en una bicicleta se ve","一辆小楼前停着汽车,旁边有两名男子身着荧光背心,坐在一辆小楼前的汽车旁边,其中一人与一名司机交谈,一名骑自行车的妇女被看见骑着自行车。",دو آدمی ایک چھوٹی سی عمارت کے سامنے کھڑے ہیں جب ان میں سے ایک کہتا ہے کہ سائیکل پر سوار کسی عورت اور عورت کو سائیکل چلا رہا ہے
/content/flickr30k_images/1010673430.jpg,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .,Una niña en una camisa rosa y una niña en una camisa naranja sentado en la hierba.,一个穿粉红色衬衫的小女孩 和一个穿着橙色衬衫的小女孩 坐在草地上,ایک چھوٹی لڑکی جلدی جلدی جلدی اُس کے چہرے پر بیٹھ جاتی ہے ۔
/content/flickr30k_images/101093029.jpg,A person in tan pants is inside a silver mobile object while people watch .,Una persona en pantalones bronceados está dentro de un objeto móvil plateado mientras la gente mira.,"身穿黑皮裤的人在银色移动物体内,",[ تصویر کا حوالہ ]
/content/flickr30k_images/101093045.jpg,"A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .","Un hombre de negro se acerca a un extraño objeto de plata que contiene una persona, mientras que muchos espectadores observan desde detrás de una barrera acordonada.","黑衣人接近奇异的银器,里面有一个人,而许多旁观者则从隔墙外的绳子后面观察。",ایک سیاہ چاندی میں ایک آدمی کے پاس ایک عجیب سا چاندی ہے جس میں ایک شخص رہتا ہے جبکہ بہتیرے لوگوں کو ایک رسی میں جکڑا ہوا نظر آتا ہے ۔
/content/flickr30k_images/1011572216.jpg,bride and groom walking side by side out of focus on pathway next to brick building .,novia y novio caminando lado a lado fuera de foco en el camino junto a la construcción de ladrillos.,新郎新娘和新郎肩并肩地走在砖楼旁边的道路上。,دُلہا اور دُلہن فن‌لینڈ کی تعمیر کے لئے دوسرے راستوں پر توجہ مرکوز رکھتے ہیں ۔
/content/flickr30k_images/1012150929.jpg,A little boy plays with a Nintendo GameCube controller inside a McDonald 's .,Un niño pequeño juega con un controlador de Nintendo GameCube dentro de un McDonald 's .,一个小男孩在麦当劳里 和一个任天堂游戏控制器玩耍,ایک چھوٹا بچہ ایک 'سی سی' کے اندر ایک بچھڑے کے ساتھ مل کر کام کرتا ہے.
/content/flickr30k_images/1012212859.jpg,White dog with brown ears standing near water with head turned to one side .,Perro blanco con orejas marrones de pie cerca del agua con la cabeza girada a un lado.,有棕色耳朵的白狗 站在水边 头转向一边,سُرخ رنگ کی مانند سفید سُرخ کتا اور پانی کے قریب تھے جس سے سر پر ایک طرف مڑے ہوئے تھے ۔
/content/flickr30k_images/1012328893.jpg,A group of people picnicking at picnic tables in front of a playground .,Un grupo de personas haciendo picnic en mesas de picnic frente a un parque infantil .,一群人在游乐场前野餐桌野餐。,لوگوں کا ایک گروہ عالیشان کھیل کے سامنے تختوں پر بیٹھا ہے ۔
/content/flickr30k_images/101262930.jpg,"Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass .","Dos personas asiáticas o españolas , una mujer y un hombre , sentados juntos delante de una ventana de cristal a medida que pasan los coches .","两个亚洲人或西班牙人, 一个女人和一个男人, 坐在玻璃窗前,",دو یا دُور ، ایک عورت اور مرد ، شیشے کی کھڑکیوں کے سامنے بیٹھے ہوئے ایک شیشے کی کھڑکیوں کے سامنے بیٹھے ہیں ۔
/content/flickr30k_images/1013536888.jpg,"Women are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .","Las mujeres están sentadas en una mesa de picnic comiendo , mientras que un hombre en una camiseta blanca y un diseño de globo amarillo y naranja en su cabeza se para en el fondo .","女性坐在野餐桌边吃东西, 一名男子身着白色T恤衫, 头上设计黄色和橙色气球,",خواتین ایک میز پر بیٹھی ہیں، جبکہ ایک سفید شیشے میں ایک آدمی ہے اور زرد رنگ کا نارخ رنگ اور ایک نارنجی رنگ کے رنگ میں اس کے سر پر موجود ہے.
/content/flickr30k_images/101362133.jpg,A young female student performing a downward kick to break a board held by her Karate instructor .,Una joven estudiante realizando una patada hacia abajo para romper una tabla sostenida por su instructor de Karate .,"一位年轻女学生向下踢踢, 打破空手道教官的棋盘。",ایک نوجوان لڑکی اپنے سُسر کے ذریعے ایک بورڈنگ بورڈ کو بند کرنے کیلئے سائیکل چلانے کی کوشش کرتی ہے ۔
/content/flickr30k_images/101362650.jpg,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,Dos personas están demostrando artes marciales a una multitud y saltando sobre tres jóvenes que están agachados en la alfombra.,"两人正在向人群展示武术,",دو لوگ ایک بِھیڑ کو تشکیل دیتے ہیں اور تین سے زائد نوجوانوں کی طرف بھاگتے ہیں ۔
/content/flickr30k_images/1014609273.jpg,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .,La gente en dos balcones y un hombre subiendo por una tubería hacia el balcón inferior recibiendo líquido vertido sobre él.,"两人坐在两座阳台上, 一人爬上管道, 向下阳台倾注液体,",ایک آدمی اور ایک آدمی اُس پر فضلے کی طرف چڑھ جاتا ہے جو اُس پر پانی برسا رہا ہے ۔
/content/flickr30k_images/101471792.jpg,A man with a red jacket is shielding himself from the sun trying to read a piece of paper .,Un hombre con una chaqueta roja se protege del sol tratando de leer un pedazo de papel.,一个穿红色夹克的人 正在保护自己 远离太阳 试图阅读一块纸。,س . ع .
/content/flickr30k_images/1014785440.jpg,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .,Dos hombres llevan a sus hijos a la espalda por la calle en un día soleado en un bonito barrio.,"有两个男人背着孩子在街上, 在阳光明媚的一天,",دو آدمی ایک اچھے علاقے میں روشنی میں اپنے بچوں کی پیٹھ پر گلی میں جا رہے ہیں.
/content/flickr30k_images/1015118661.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,Sonriente chico en camisa blanca y pantalones vaqueros azules en frente de la pared de roca con el hombre en monos detrás de él.,"穿着白衬衫和蓝色牛仔裤的笑男孩在石墙前,",سفید چہرے میں لڑکے اور نیلے رنگ کی دیوار کے سامنے پتھر کی دیوار میں آدمی کے پیچھے.
/content/flickr30k_images/1015584366.jpg,A mottled black and gray dog in a blue collar jumping over a fallen tree .,Un perro negro y gris moteado en un cuello azul saltando sobre un árbol caído.,一只穿蓝领的黑灰狗 跳过一棵倒塌的树,نیلے رنگ کا سفید رنگ اور سفید کتا گِرتے ہوئے درخت پر ٹوٹ پڑتا ہے ۔
/content/flickr30k_images/101559400.jpg,"Men in the business suits are crossing the street , and there are people with placards are gathering on the street .","Los hombres en los trajes de negocios están cruzando la calle, y hay gente con carteles se reúnen en la calle.","身穿商服的男子正过马路,",کاروبار میں مرد سڑک پار کر رہے ہیں اور لوگ سڑک پر کھڑے ہیں ۔
/content/flickr30k_images/1015712668.jpg,A man in a red long-sleeved shirt bikes over a body of water on a bridge .,Un hombre en una camisa roja de manga larga bicicletas sobre un cuerpo de agua en un puente.,一个穿红色长袖衬衫骑自行车的男人 骑在桥上的一具水上,ایک سرخ رنگ کے ایک آدمی نے ایک پُل پر پانی کے جسم پر ایک پانی کے جسم پر سائیکلوں کا نشان لگا دیا.
/content/flickr30k_images/10160966.jpg,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .,Un hombre descalzo usando shorts verde oliva asando hotdogs en una pequeña parrilla de propano mientras sostiene una taza de plástico azul .,"赤脚男子穿着橄榄绿短裤, 在一个小型丙烷烤架上烤热狗,",ایک چھوٹا سا آدمی زیتون کے سبز رنگ کی ایک چھوٹی سی پلاسٹک کے ایک چھوٹے سے ٹکڑے پر گرم کِیا کرتا تھا ۔
/content/flickr30k_images/101654506.jpg,The white and brown dog is running over the surface of the snow .,El perro blanco y marrón está corriendo sobre la superficie de la nieve.,白色和棕色的狗 正在跑过雪的表面。,برف کی سطح پر سفید اور سرخ کتا چل رہا ہے ۔
/content/flickr30k_images/1016626169.jpg,Man on scooter attracts attention from some of those in large crowd .,El hombre en scooter atrae la atención de algunos de los que en la multitud grande.,骑摩托的男子吸引了人群中的一些人的注意。,انسان بڑی بِھیڑ میں سے بعض پر توجہ دیتا ہے ۔
/content/flickr30k_images/101669240.jpg,A person wearing skis looking at framed pictures set up in the snow .,Una persona que lleva esquís mirando cuadros enmarcados colocados en la nieve .,"身着滑雪滑雪, 看着雪地上布满的图画。",بِل‌کوچوں میں بیٹھے ہوئے ایک شخص کی تصویریں بنائی جاتی ہیں ۔
/content/flickr30k_images/1016887272.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,"Varios escaladores en una fila están subiendo la roca, mientras que el hombre en rojo relojes y sostiene la línea.","数名登山者在攀岩,",قطار میں چلنے والے بہت سے لوگ اُس وقت چٹانوں پر چڑھ رہے ہیں جب آدمی لال نظر آتا ہے اور قطار میں کھڑا رہتا ہے ۔
/content/flickr30k_images/1017675163.jpg,"A young gymnast , jumps high in the air , while performing on a balance beam .","Una joven gimnasta , salta alto en el aire , mientras se realiza en un rayo de equilibrio .","一个年轻的体操运动员, 跳高在空中, 同时在平衡的光束上表演。",ایک چھوٹا بچہ ہوا میں اُونچی آواز میں تیرتا ہے جبکہ توازن برقرار رکھتا ہے ۔
/content/flickr30k_images/1018057225.jpg,a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .,un chico en una camiseta negra y vaqueros azules está empujando un juguete de tres ruedas alrededor de una pequeña piscina.,一个穿着黑色T恤和蓝色牛仔裤的男孩 正在一个小池子里推着一个玩具三轮车,ایک سیاہ سی ٹی وی اور نیلے رنگ کے ایک چھوٹے سے حوض کے گرد ایک لڑکے کو ہلا رہا ہے.
/content/flickr30k_images/1018148011.jpg,A group of people stand in the back of a truck filled with cotton .,Un grupo de personas se paran en la parte trasera de un camión lleno de algodón.,一群人站在一辆装满棉花的卡车的后面。,لوگوں کا ایک گروہ ٹرک سے بھرا ہوا تھا ۔
/content/flickr30k_images/101859883.jpg,a woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck .,una mujer con una chaqueta roja y velo mira hacia fuera sobre una vista escénica de una bahía a través de un conjunto de binoculares de pago en una cubierta de visión.,"穿红色夹克和头巾的女人透过观光甲板上一套付费双目望远镜,",ایک سرخ عورت کے ساتھ ایک لال اور سرے کے ساتھ ایک تصویر بنانے کے بارے میں نظر آتا ہے جس میں ایک بچھڑے کی تصویر پر نظر ڈالی جاتی ہے.
/content/flickr30k_images/10188041.jpg,A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,Un hombre con un abrigo negro pasa por delante de una nave espacial roja con un boleto de estacionamiento pegado a su ventana.,一个穿黑大衣的男人走过一艘红色的太空船 车票卡在车窗上,ایک سیاہ رنگ کے ایک آدمی نے ایک لال ٹکٹ کیساتھ لیکر کھڑکی کی کھڑکی پر رکھی تھی ۔
/content/flickr30k_images/1019077836.jpg,Large brown dog running away from the sprinkler in the grass .,Gran perro marrón huyendo del aspersor en la hierba.,大棕色狗从草地喷洒器跑开,بڑے بڑے کتا گھاس میں کتے سے دُور بھاگ جاتے ہیں ۔
/content/flickr30k_images/101958970.jpg,A man and a little girl happily posing in front of their cart in a supermarket .,Un hombre y una niña feliz posando delante de su carro en un supermercado.,一个男人和一个小女孩 快乐地在超市的马车前 摆着姿势,ایک مرد اور ایک چھوٹی سی لڑکی اپنی کار کے سامنے خوشی سے خوش ہو کر خوش ہوتے ہیں ۔
/content/flickr30k_images/1019604187.jpg,A dog prepares to catch a thrown object in a field with nearby cars .,Un perro se prepara para atrapar un objeto lanzado en un campo con coches cercanos.,一只狗准备在附近汽车的田野里捕捉被抛弃的物体。,ایک کتے نے اِس بات پر زور دیا کہ وہ اِسے اپنی گاڑیوں کے ذریعے اِستعمال کر سکتا ہے ۔
/content/flickr30k_images/102030371.jpg,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .,Un hombre que lleva una camisa verde y un chaleco de color oscuro está sentado en una mesa con un vaso de agua en frente de él.,"身穿绿衬衫和深色背心的男子坐在桌子上,",ایک شخص ایک سبز چہرے کا لباس پہنتا ہے اور سبز رنگ کے کپڑے اُس کے سامنے ایک میز پر بیٹھتا ہے ۔
